id;name;brand;description;ingredients;category;skin_type
19;Mugwort Essence;I'm From;Single-ingredient essence to soothe irritation and reduce redness.;Artemisia Princeps Extract;serum;"sensitive;dry;normal"
20;Rice Toner;I'm From;Hydrating toner that brightens and softens skin.;Aqua, Oryza Sativa (Rice) Extract, Niacinamide, Glycerin;toner;"dry;normal;combination"
21;Propolis Light Ampoule;COSRX;Nourishing ampoule with propolis and hyaluronic acid.;Propolis Extract, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate;serum;"dry;normal"
22;Snail Repair Intensive Toner;Mizon;Hydrating toner with snail mucin to restore skin.;Snail Secretion Filtrate, Glycerin, Panthenol, Allantoin;toner;"dry;normal;sensitive"
23;Renewing SA Cleanser;CeraVe;Salicylic acid cleanser for exfoliation and smoother skin.;Aqua, Salicylic Acid, Glycerin, Ceramide NP, Hyaluronic Acid;cleanser;"oily;combination"
24;Retinol 1% in Squalane;The Ordinary;High-strength retinol formulation to target fine lines.;Squalane, Retinol, Caprylic/Capric Triglyceride;serum;"normal;dry"
25;Barrier Repair Moisturizer;Paula's Choice;Moisturizer focused on strengthening the skin barrier.;Ceramide NP, Cholesterol, Hyaluronic Acid, Glycerin;moisturizer;"dry;normal;sensitive"
26;2% BHA Liquid Exfoliant;Paula's Choice;Leave-on exfoliant to unclog pores and smooth texture.;Salicylic Acid, Green Tea Extract, Methylpropanediol;exfoliant;"oily;combination;normal"
27;Water Sleeping Mask;Laneige;Hydrating overnight mask designed to replenish moisture.;Aqua, Glycerin, Sodium Hyaluronate, Beta-Glucan;moisturizer;"dry;normal"
28;Blue Hyaluronic Cream;Laneige;Rich moisturizer with micro hyaluronic acid.;Aqua, Hyaluronic Acid, Squalane, Glycerin, Panthenol;moisturizer;"dry;normal"
29;Heartleaf 77% Soothing Toner;Anua;Calming toner made with 77% houttuynia cordata extract.;Aqua, Houttuynia Cordata Extract, Glycerin, Panthenol;toner;"sensitive;normal;combination"
30;Relief Sun: Rice + Probiotics SPF50+;Beauty of Joseon;Hydrating chemical sunscreen with smooth texture.;Aqua, Oryza Sativa Extract, Glycerin, Ethylhexyl Methoxycinnamate;sunscreen;"normal;dry;combination"
31;Zero Pore One Day Serum;Medicube;Lightweight serum targeting enlarged pores and excess sebum.;Aqua, Niacinamide, Salicylic Acid, Glycerin, Butylene Glycol;serum;"oily;combination"
32;Zero Pore Pad 2.0;Medicube;Exfoliating toner pads to smooth texture and clear pores.;Aqua, Glycolic Acid, Salicylic Acid, Panthenol, Allantoin;toner;"oily;combination;normal"
33;Triple Collagen Essential Moisture Cream;Medicube;Rich cream to improve elasticity and long-lasting hydration.;Aqua, Hydrolyzed Collagen, Glycerin, Squalane, Shea Butter;moisturizer;"dry;normal"
34;Super Cica Ampoule;Medicube;Calming ampoule formulated to soothe sensitive, irritated skin.;Aqua, Centella Asiatica Extract, Madecassoside, Panthenol;serum;"sensitive;normal;dry"
35;Age-R Derma Shot Toner;Medicube;Hydrating toner to prepare skin and support barrier care.;Aqua, Glycerin, Sodium Hyaluronate, Betaine, Ceramide NP;toner;"dry;normal;combination"
36;Cica Mild Cleansing Foam;VT Cosmetics;Soft foam cleanser designed to calm and purify skin.;Aqua, Cocamidopropyl Betaine, Centella Asiatica Extract, Glycerin;cleanser;"sensitive;normal"
37;Reedle Shot 100;VT Cosmetics;At-home resurfacing treatment to improve texture appearance.;Aqua, Niacinamide, Sodium Hyaluronate, Silica, Panthenol;serum;"normal;combination"
38;Reedle Shot 300;VT Cosmetics;Intensive renewing ampoule for rough, uneven skin.;Aqua, Retinyl Palmitate, Niacinamide, Glycerin, Silica;serum;"normal;dry"
39;Cica Capsule Mask;VT Cosmetics;Wash-off mask that soothes and hydrates stressed skin.;Aqua, Centella Asiatica Extract, Kaolin, Glycerin;mask;"sensitive;normal"
40;Cica Mild Toner;VT Cosmetics;Gentle toner to calm and lightly hydrate.;Aqua, Centella Asiatica Extract, Panthenol, Glycerin;toner;"sensitive;normal;combination"
41;Noni Energy Ampoule;Celimax;Nourishing serum with noni extract to revitalize dull skin.;Aqua, Morinda Citrifolia Extract, Glycerin, Niacinamide;serum;"dry;normal"
42;Noni Moisture Balancing Toner;Celimax;Hydrating toner that balances oil and moisture.;Aqua, Morinda Citrifolia Extract, Glycerin, Betaine;toner;"normal;combination"
43;Noni Hydra Firming Cream;Celimax;Firming cream that supports elasticity and moisture.;Aqua, Morinda Citrifolia Extract, Shea Butter, Squalane;moisturizer;"dry;normal"
44;Heartleaf Moisture Soothing Cream;Anua;Light gel-cream that calms redness and hydrates.;Aqua, Houttuynia Cordata Extract, Glycerin, Panthenol;moisturizer;"sensitive;normal;combination"
45;Heartleaf Pore Control Cleansing Oil;Anua;Cleansing oil that melts makeup and helps clear pores.;Helianthus Annuus Seed Oil, Houttuynia Cordata Extract, Sorbeth-30 Tetraoleate;cleanser;"oily;combination;normal"
46;Heartleaf 80% Soothing Ampoule;Anua;Concentrated ampoule to reduce irritation and support barrier.;Houttuynia Cordata Extract, Glycerin, Panthenol, Sodium Hyaluronate;serum;"sensitive;normal"
47;Heartleaf LHA Peeling Gel;Anua;Gentle exfoliating gel to remove dead skin cells.;Aqua, Lactic Acid, Houttuynia Cordata Extract, Cellulose;exfoliant;"normal;combination;sensitive"
48;Heartleaf Clay Mask Pack;Anua;Clay mask that absorbs excess sebum and refines pores.;Aqua, Kaolin, Houttuynia Cordata Extract, Glycerin;mask;"oily;combination"
49;Hydration Gel Water Tube;Abib;Light gel moisturizer for cooling and refreshing hydration.;Aqua, Glycerin, Sodium Hyaluronate, Panthenol;moisturizer;"normal;combination;oily"
50;Heartleaf Essence Calming Pump;Abib;Essence to soothe irritated skin and even tone.;Houttuynia Cordata Extract, Glycerin, Arginine;serum;"sensitive;normal"
51;Gummy Sheet Mask Heartleaf Sticker;Abib;Soothing sheet mask loaded with heartleaf essence.;Houttuynia Cordata Extract, Glycerin, Betaine;mask;"sensitive;normal"
52;Barrierderm Intensive Cream;Biodance;Barrier-strengthening cream for very dry or damaged skin.;Aqua, Ceramide NP, Cholesterol, Shea Butter, Panthenol;moisturizer;"dry;sensitive"
53;Barrierderm Mild Foam Cleanser;Biodance;Mild foam cleanser that respects skin barrier.;Aqua, Cocamidopropyl Betaine, Glycerin, Allantoin;cleanser;"sensitive;normal"
54;Barrierderm Soothing Toner;Biodance;Hydrating toner that supports barrier recovery.;Aqua, Glycerin, Panthenol, Ceramide NP;toner;"dry;normal;sensitive"
55;Zero Pore Deep Cleanser;Medicube;Deep cleansing gel that removes sebum and impurities.;Aqua, Glycerin, Salicylic Acid, Niacinamide;cleanser;"oily;combination"
56;Cica Calming Wash-Off Cleanser;VT Cosmetics;Gentle cleanser that calms irritation while cleansing.;Aqua, Centella Asiatica Extract, Glycerin;cleanser;"sensitive;normal"
57;Noni Fresh Relief Cleanser;Celimax;Hydrating creamy cleanser for daily gentle washing.;Aqua, Morinda Citrifolia Extract, Glycerin;cleanser;"dry;normal"
58;Heartleaf Fresh Foam Cleanser;Anua;Refreshing foam cleanser that minimizes oil buildup.;Aqua, Houttuynia Cordata Extract, Betaine;cleanser;"oily;combination"
59;Hydration Gel Cleanser;Abib;Gel cleanser that keeps moisture intact while cleansing.;Aqua, Glycerin, Sodium Hyaluronate;cleanser;"normal;dry;sensitive"
60;Triple Hyaluronic Sun Essence SPF50+;Abib;Lightweight hydrating sunscreen with hyaluronic acid.;Aqua, Sodium Hyaluronate, Glycerin;sunscreen;"dry;normal"
61;Heartleaf Calming Sun Cream SPF50+;Anua;Non-sticky sunscreen made for sensitive skin.;Aqua, Houttuynia Cordata Extract, Centella Asiatica Extract;sunscreen;"sensitive;normal"
62;Cica Mild Sun Fluid SPF50+;VT Cosmetics;Light fluid sunscreen for oily or combination skin.;Aqua, Centella Asiatica Extract, Niacinamide;sunscreen;"oily;combination"
63;Noni Barrier Sun Cream SPF50+;Celimax;Nourishing sunscreen that strengthens moisture barrier.;Aqua, Morinda Citrifolia Extract, Squalane;sunscreen;"dry;normal"
64;Cica Sun Lotion SPF50+;Medicube;Soothing sun lotion that protects while calming skin.;Aqua, Madecassoside, Panthenol;sunscreen;"sensitive;normal"
65;Zero Pore Tightening Toner;Medicube;Pore-tightening toner for smoother texture.;Aqua, Niacinamide, Witch Hazel Extract;toner;"oily;combination"
66;Heartleaf Moisture Toner;Anua;Hydrating toner with 77% heartleaf extract.;Houttuynia Cordata Extract, Glycerin, Panthenol;toner;"sensitive;normal"
67;Noni Balancing Skin Toner;Celimax;Gentle toner that balances hydration levels.;Aqua, Morinda Citrifolia Extract, Betaine;toner;"normal;dry"
68;Cica Barrier Toner;VT Cosmetics;Strengthens skin barrier while soothing redness.;Aqua, Centella Asiatica Extract, Ceramide NP;toner;"sensitive;normal;dry"
69;Hydration Essence Toner;Abib;Deeply hydrating toner with essence-like texture.;Aqua, Hyaluronic Acid, Glycerin;toner;"dry;normal"
70;Heartleaf Relaxing Clay Mask;Anua;Clay mask that absorbs oils while soothing skin.;Aqua, Kaolin, Houttuynia Cordata Extract;mask;"oily;combination"
71;Cica Sleeping Mask;VT Cosmetics;Overnight mask that repairs skin barrier.;Aqua, Centella Asiatica Extract, Panthenol;mask;"sensitive;normal"
72;Collagen Firming Gel Mask;Medicube;Gel mask for firming and plumping tired skin.;Aqua, Hydrolyzed Collagen, Glycerin;mask;"dry;normal"
73;Noni Glow Moisture Mask;Celimax;Hydrating mask infused with noni extract.;Aqua, Morinda Citrifolia Extract, Hyaluronic Acid;mask;"dry;normal;sensitive"
74;Heartleaf Sheet Mask;Abib;Sheet mask that reduces redness and hydrates deeply.;Houttuynia Cordata Extract, Glycerin;mask;"sensitive;normal"
